Mon 26/04/2004 02:00: Success (user = 8.82s system = 0.12s size =  410082 total)
Tue 27/04/2004 02:00: Success (user = 8.93s system = 0.11s size =  410082 total)
Wed 28/04/2004 02:00: Success (user = 8.89s system = 0.04s size =  410082 total)
Thu 29/04/2004 02:00: Success (user = 8.81s system = 0.09s size =  410082 total)
Sat 01/05/2004 02:00: Success (user = 8.13s system = 0.08s size =  409118 total)
Mon 03/05/2004 02:00: Success (user = 8.08s system = 0.13s size =  409118 total)
Tue 04/05/2004 02:00: Success (user = 8.10s system = 0.08s size =  409118 total)
Wed 05/05/2004 02:00: Success (user = 8.25s system = 0.10s size =  409118 total)
Thu 06/05/2004 02:00: Success (user = 8.24s system = 0.14s size =  409118 total)
Fri 07/05/2004 02:00: Success (user = 8.11s system = 0.15s size =  409118 total)
Sat 08/05/2004 02:00: Success (user = 8.20s system = 0.10s size =  409118 total)
Mon 10/05/2004 02:00: Success (user = 8.09s system = 0.13s size =  409118 total)
Tue 11/05/2004 02:00: Success (user = 8.07s system = 0.10s size =  409118 total)
Wed 12/05/2004 02:00: Success (user = 8.02s system = 0.11s size =  409118 total)
